id,version,min,title,junre,player,time,description,url,first,popular,bug
20,1.16.5,,待チ工場,謎解き・脱出,1人専用,1時間,気がついたら檻の中。このままでは溶岩に真っ逆さまに落ちていってしまう！そこのあなた！私を助けて！,https://www.dropbox.com/s/5vj1j1qlxm7sxzq/%E5%BE%85%E3%83%81%E5%B7%A5%E5%A0%B4_1.07.zip?dl=1,1,0,0
19,1.16,,マイクラスポーツフェス,ミニゲーム,1～32人,-,マイクラの世界でテッペンを獲れ！,https://ux.getuploader.com/je_map/download/7,0,1,0
18,1.15.2,,怪盗1911,ステルスアクションRPG,1人専用,1時間,名画「モナ・リザ」をルーヴル美術館から盗み出せ！,https://ux.getuploader.com/je_map/download/3,0,0,0
17,1.14.4,,建築伝言ゲーム / Builders Ⅲ,ミニゲーム,3～12人,-,みんなに伝わるように建築して、頑張って何が作られたのか察しよう！(第三弾),https://www.dropbox.com/s/obuz3a7qwzxfpi2/Builders_III_ver1.11.zip?dl=1,0,1,0
16,1.14.4,,學幽譚,ホラー,2人専用,1.5時間,不思議な小説の真実を調べに、廃れた校舎へ二人で挑む！,https://www.dropbox.com/s/9lt6vcclnavl39x/Gakuyuutan_ver1.12.zip?dl=1,0,0,0
15,1.12.1,,怪盗V,ステルスアクションRPG,1人専用,1.5時間,最新鋭の機器で監視された銀行からダイヤモンドを盗み出せ！,https://www.dropbox.com/s/0paskd61h5jzekc/%E6%80%AA%E7%9B%97V.zip?dl=1,0,0,0
14,1.11.2,,小さな絵本の名も無き世界,謎解き,1～3人,1時間,忘れ去られた絵本の内容を思い出す旅に出る、ほのぼの初心者向けマップ,https://www.dropbox.com/sh/1z1tg0gzxmm69vg/AAA0DPJ5HgjX7M5qThFSWcdxa?dl=1,1,0,0
13,1.12,1.11,建築伝言ゲーム / Builders-Ex,ミニゲーム,3～12人,-,みんなに伝わるように建築して、頑張って何が作られたのか察しよう！(第二弾),http://world-minecraft.com/archives/54084394.html,0,0,0
12,1.10.2,,サンタがくるまで,アドベンチャー,1人専用,2.5時間,今日はクリスマスイヴ。サンタさんにプレゼントを貰うために、街の人達のお手伝いをしよう！,http://world-minecraft.com/archives/88908544.html,0,0,0
11,1.10.2,,囚われの展覧会,ミステリーアドベンチャー,1人専用,14時間,眼が覚めたら美術館だった。ここから出るにはどうすれば？…,http://world-minecraft.com/archives/511975849.html,0,0,0
10,1.8,,マイクラ陸上,ミニゲーム,1～64人,-,マイクラの世界で陸上競技でテッペンを獲れ！,https://www.dropbox.com/s/u94mj2vm0pzgq7c/MinecraftAthleticSports_ver1.01.zip?dl=1,0,0,0
9,1.8.7,,知恵の写し鏡,謎解き,2人専用,5時間,二人で知恵を出し合い、物が徐々に増えていく部屋から脱出するマップ,https://www.dropbox.com/sh/j5eh6itnzvjlg2l/AACZhL6WBy55mYxKZZ8Lg4WXa?dl=1,0,0,0
8,1.8,,ゲームシアター,ミニゲーム,2～60人,-,シンプルなミニゲーム集,https://www.dropbox.com/sh/egok6jgl3ck0e7t/AABhoiQ_Wn9TYOf9Llji0PGZa?dl=1,0,0,1
7,1.8.4,,小学校からの脱出,謎解き・脱出,1～81人,1時間,小学校の様々な場所に隠された謎を解き、授業が終わる前に脱出する初心者向けマップ,https://www.dropbox.com/sh/1r0fesnojxcnxl9/AAByOvUtwu7KIAk7v8gA3gVea?dl=1,1,0,0
6,1.8.3,,井戸と20の扉,謎解き,1人専用,2.5時間,井戸に落ちて死にそうな中、生きる意志を６つの力で示すのだ！,https://www.dropbox.com/sh/jtlbqv3ggmgp05d/AACFtw4fYsEu1m0FxEjhWSqBa?dl=1,0,0,0
5,1.8,,建築伝言ゲーム(旧) / Builders,ミニゲーム,3～12人,-,みんなに伝わるように建築して、頑張って何が作られたのか察しよう！,https://www.dropbox.com/sh/qi1mv6dm9e9jgyp/AACTYS5HVxhFukB3rUeUVgWFa?dl=1,0,0,0
4,1.8,,絆の檻,謎解き,2人専用,3時間,二人の絆を深め、時には傷つけ合い、謎を次々と解いていけ！,https://www.dropbox.com/sh/5kgfc4ipwmpi1yp/AABPgjZgFHg-2oSlfNou2B1ua?dl=1,0,0,0
3,1.8.1,,フタリアソビ,ホラー,1人専用,2時間,自分の過去を知るために、久々に実家にやってきた。ここに何かがあるかもしれない,https://www.dropbox.com/sh/41z2dgknwh6gyu7/AAAff6oy9at-eufMtsisusIqa?dl=1,0,0,0
2,1.8,,Answers 8,謎解き,1～4人,3時間,様々なお題に対して、８つの謎を解け！(バグ多めのため注意),https://www.dropbox.com/sh/nfqk0hbw9v99wtd/AABqU_PB1NXH_O1XcNIyQZJ_a?dl=1,0,0,1
1,1.6.2,1.4,脱出迷宮,謎解き,2人専用,3時間,二人で協力して丸石に囲まれた迷宮から脱出せよ！,https://www.dropbox.com/sh/sz1k40wq8gmm8ll/AABB5BuT334dJVyZy9BRbBC3a?dl=1,0,0,0